stock_name,common
Marine_fishes_not_identified,NA
Miscellaneous_aquatic_invertebrates,NA
Marine_pelagic_fishes_not_identified,NA
Mollusca,NA
Elasmobranchii,NA
Scombroidea,NA
Decapoda,NA
Muraenidae,NA
Holocentridae,NA
Serranidae,NA
Carangidae,NA
Lutjanidae,NA
Lethrinidae,NA
Mullidae,NA
Mugilidae,NA
Labridae,NA
Acanthuridae,NA
Siganidae,NA
Scombridae,NA
Istiophoridae,NA
Scarus,NA
Sphyraena,NA
Gymnothorax,NA
Naso,NA
Isurus,NA
Alopias,NA
Etelis,NA
Pristipomoides,NA
Octopus,NA
Coryphaena_hippurus,Common dolphinfish
Chanos_chanos,Milkfish
Aphareus_rutilans,NA
Aprion_virescens,Green jobfish
Acanthocybium_solandri,Wahoo
Alepisaurus_ferox,NA
Katsuwonus_pelamis,Skipjack tuna
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Lutjanus_kasmira,NA
Istiompax_indica,Black marlin
Makaira_mazara,NA
Kajikia_audax,Striped marlin
Xiphias_gladius,Swordfish
Lutjanus_gibbus,NA
Selar_crumenophthalmus,Bigeye scad
Elagatis_bipinnulata,Rainbow runner
Carcharhinus_falciformis,Silky shark
Carcharhinus_galapagensis,NA
Carcharhinus_longimanus,Oceanic whitetip shark
Carcharhinus_melanopterus,Blacktip reef shark
Prionace_glauca,Blue shark
Lepidocybium_flavobrunneum,NA
Ruvettus_pretiosus,Oilfish
Lampris_guttatus,NA
Sphyraena_barracuda,Great barracuda
Acanthurus_lineatus,NA
Ctenochaetus_striatus,NA
Naso_unicornis,NA
Lethrinus_olivaceus,Longface emperor
Alopias_superciliosus,Bigeye thresher
Tetrapturus_angustirostris,NA
Variola_louti,NA
Scarus_ghobban,NA
Thunnus_orientalis,Pacific bluefin tuna
Tridacna_squamosa,NA
Scylla_serrata,Indo-Pacific swamp crab
Tridacna_maxima,NA
Panulirus_penicillatus,NA
Panulirus_versicolor,NA
Parribacus_caledonicus,NA
Echinodermata,NA
Sphyrna,NA
