TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Point,555547707,555547707,1,Ava o sina,Ava o sina,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,0.01,NA,0.07,NA,Not Reported,0,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,Not Reported,1686,Not Reported,WSM,WSM
Point,555547708,555547708,1,punaoa,punaoa,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,0.07,NA,0.3,NA,Not Reported,0,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,Not Reported,1686,Not Reported,WSM,WSM
Point,555547709,555547709,1,Afaga Tele,Afaga Tele,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,0.51,NA,1.43,NA,Not Reported,0,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,Not Reported,1686,Not Reported,WSM,WSM
Point,555547710,555547710,1,Vaiee,Vaiee,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,0.77,NA,10.26,NA,Not Reported,0,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,Not Reported,1686,Not Reported,WSM,WSM
Point,555547711,555547711,1,Fausaga,Fausaga,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,0.28,NA,0.73,NA,Not Reported,0,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,Not Reported,1686,Not Reported,WSM,WSM
Point,555547712,555547712,1,Faaofi laulu,Faaofi laulu,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,0.2,NA,0.34,NA,Not Reported,0,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,Not Reported,1686,Not Reported,WSM,WSM
